Position,Name,ID,Salary,TeamAbbrev,AvgPointsPerGame
PG/SG,Darius Garland,2,9000,CLE,38.36761795
PG/SG,Devin Booker,15,8900,PHO,41.70583549
SF,Khris Middleton,10,8700,MIL,37.8356918
PG,Shai Gilgeous-Alexander,11,8600,OKC,39.94341054
PG,De'Aaron Fox,16,8500,SAC,37.58125463
PG/SG,Caris LeVert,5,7900,IND,35.05285672
PG,Chris Paul,14,7800,PHO,35.75838835
PG,Jrue Holiday,8,7700,MIL,36.84824956
C,Jarrett Allen,1,7600,CLE,35.93933547
PF/C,Evan Mobley,3,7500,CLE,33.99535235
PG/SG,Tyrese Haliburton,17,7200,SAC,33.77233098
SG/SF,Josh Giddey,12,7000,OKC,32.63071495
C,Bobby Portis,9,6700,MIL,36.0899816
SF/PF,Harrison Barnes,18,6100,SAC,28.59105472
SF/PF,Lauri Markkanen,4,5500,CLE,27.13062168
SG/SF,Luguentz Dort,13,5300,OKC,27.20383605
SG/SF,Chris Duarte,6,5200,IND,27.83128998
SG/SF,Justin Holiday,7,4900,IND,22.25797457
